round,total_adversarial_episodes,total_ego_episodes,adv_episodes,adv_avg_reward,adv_crash_rate,adv_agents_crash_rate,adv_adv_collision_rate,adv_ego_collision_rate,adv_other_collision_rate,adv_recovery_rate,adv_road_completion_rate,adv_road_completion_rate_full,ego_episodes,ego_avg_reward,ego_crash_rate,ego_agents_crash_rate,ego_adv_adv_collision_rate,ego_adv_ego_collision_rate,ego_adv_other_collision_rate,ego_adv_recovery_rate,ego_road_completion_rate,ego_road_completion_rate_full,ego_route_completion_distance,ego_route_length,ego_avg_speed
11,2517,4704,200,350.09458082341683,0.165,0.185,0.02,0.165,0.0,0.015,0.31247510635556464,0.30935035529200905,500,89.603944525185,0.206,0.262,0.058,0.206,0.0,0.05,0.5251474086971959,0.519895934610224,198.00000000000003,200.0,10.9140288847023
12,2753,5008,236,300.9975943606949,0.0423728813559322,0.13135593220338984,0.09322033898305085,0.0423728813559322,0.0,0.0847457627118644,0.5780375823453616,0.5722572065219081,304,126.58931078900035,0.05592105263157895,0.12171052631578948,0.07236842105263158,0.05592105263157895,0.006578947368421052,0.07236842105263158,0.6854636930979283,0.6786090561669491,198.00000000000003,200.0,15.589537360125213
13,2956,5309,203,261.2620047346013,0.13793103448275862,0.22660098522167488,0.08866995073891626,0.13793103448275862,0.0,0.07389162561576355,0.6987503645784894,0.6917628609327043,301,115.73641617992621,0.10299003322259136,0.12956810631229235,0.026578073089700997,0.10299003322259136,0.0,0.026578073089700997,0.6327102432249366,0.6263831407926874,198.00000000000006,200.0,18.389300684509408
14,3156,5809,200,351.3110451393802,0.07,0.125,0.06,0.07,0.0,0.055,0.4672828775179596,0.46261004874278017,500,134.15899453278556,0.038,0.35,0.32,0.038,0.0,0.318,0.7039614792889162,0.6969218644960272,198.00000000000003,200.0,14.783010586791454
15,3356,6109,200,355.9494100533659,0.07,0.075,0.005,0.07,0.0,0.005,0.3609818644894538,0.3573720458445592,300,129.44710873561192,0.03,0.05,0.023333333333333334,0.03,0.0,0.023333333333333334,0.6831885727729515,0.6763566870452221,198.00000000000006,200.0,7.232643662186201
16,3556,6409,200,318.1213362981708,0.17,0.195,0.03,0.17,0.0,0.03,0.559692384057048,0.5540954602164776,300,131.58525942987683,0.03666666666666667,0.04,0.0033333333333333335,0.03666666666666667,0.0,0.0033333333333333335,0.6853923604307638,0.6785384368264562,198.00000000000006,200.0,8.124878154343124
17,3756,6909,200,352.0988610338076,0.035,0.055,0.02,0.035,0.0,0.02,0.540413874529619,0.5350097357843229,500,63.97400126524244,0.254,0.296,0.052,0.254,0.0,0.046,0.42401996061444747,0.41977976100830305,198.00000000000003,200.0,9.019080089405822
18,3956,7409,200,352.2939523216467,0.135,0.165,0.03,0.135,0.0,0.03,0.3115433738666182,0.30842794012795205,500,46.12363133089314,0.374,0.376,0.002,0.374,0.0,0.002,0.34639675964531325,0.3429327920488602,198.00000000000003,200.0,9.961450141867743
19,4156,7709,200,339.3741385258356,0.195,0.23,0.035,0.195,0.0,0.03,0.4672446989882093,0.4625722519983273,300,94.07257213041113,0.08333333333333333,0.11666666666666667,0.03666666666666667,0.08333333333333333,0.0,0.03666666666666667,0.5612403255819148,0.5556279223260958,198.00000000000006,200.0,17.321665720657663
20,4356,8209,200,305.4402689997385,0.195,0.205,0.01,0.195,0.0,0.01,0.5437138454566416,0.5382767070020752,500,64.22445989506352,0.256,0.298,0.044,0.256,0.0,0.04,0.4347327000055046,0.43038537300544966,198.00000000000003,200.0,9.861933601621153
21,4556,8709,200,343.55834021041693,0.255,0.27,0.015,0.255,0.0,0.01,0.3608951330405465,0.35728618171014115,500,124.55414498904528,0.098,0.182,0.086,0.098,0.002,0.082,0.6661527099493656,0.659491182849872,198.00000000000003,200.0,14.177495265493961
22,4756,9209,200,254.52822421468366,0.12,0.165,0.045,0.12,0.0,0.025,0.6344111611150045,0.6280670495038545,500,121.4435804765367,0.08,0.124,0.044,0.08,0.0,0.04,0.6528990682048468,0.6463700775227985,198.00000000000003,200.0,19.407623163480274
23,4956,9741,200,327.430018587192,0.195,0.195,0.0,0.195,0.0,0.0,0.287076439115696,0.28420567472453917,532,89.34787720479059,0.09774436090225563,0.10902255639097744,0.011278195488721804,0.09774436090225563,0.0,0.011278195488721804,0.525348482555885,0.5200949977303261,198.00000000000003,200.0,6.665958490871573
24,5156,10241,200,344.2956463819844,0.26,0.275,0.015,0.26,0.0,0.015,0.2268904983702845,0.2246215933865817,500,71.91682538690912,0.138,0.146,0.014,0.138,0.0,0.014,0.46245542517865645,0.4578308709268699,198.00000000000003,200.0,5.831817317654977
